Category,NPC/Facility,Location(s),Recipe / Method,Product,Required Skill(s),Materials,Item Type,Scope,Notes,Data Status,Source URL
Handicrafts,Shipwright,Aden,Build Admiral's cabin,Admiral's Cabin,Handicrafts 14,Fine Furniture x10; Wax x10; Processed Lumber x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shopkeeper,Merida,Making Concheros sandals,Concheros Sandals,Handicrafts 12,Berries x20; Exotic Fruit x20; Bark x20,Foot equipment,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shopkeeper,Genoa,Make mast top,Mast Top,Handicrafts 8,Telescope x1; Processed Lumber x1; Improved Rope x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Sculptor,Caracas,Sculpt St. of voyages,Saint Mark,Handicrafts 17; Theology 3,Gold x10; Turquoise x15; Lumber x35,Figurehead / ship ornament,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Carpenter,Amsterdam,Make a small mast,Small Mast,Handicrafts 4,Iron x10; Lumber x20; Rope x1,Ship mast,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Carpenter,Hamburg,Make a medium mast,Middle Mast,Handicrafts 8,Iron x20; Processed Lumber x1; Improved Rope x1,Ship mast,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Carpenter,Trujillo; Pernambuco; Caracas; Cayenne; Willemstad; Grand Cayman,Make a large mast,Large Mast,Handicrafts 12,Iron x30; Processed Lumber x1; Improved Rope x1,Ship mast,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Dock Manager,Trujillo (Spanish only),Make sail sewing kit,Set of Sail Sewing Tools,Handicrafts 8,Hemp Fabric x30; Carpentry Tools x10; Sewing Set x20,Repair tool,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Dock Manager,Trujillo (Spanish only),Build shipwright's room,Shipwright's Quarters,Handicrafts 14,Iron x10; Carpentry Tools x10; Processed Lumber x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Dock Manager,Trujillo; Pernambuco; Caracas; Cayenne; Willemstad; Grand Cayman; Istanbul,Building a life boat,Life Boat,Handicrafts 5; Shipbuilding 13,Lifesavers x10; Processed Lumber x1; Metal Work x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Painter,Jaffa,Antifouling paint,Antifouling Paint,Handicrafts 12,Black-mud x10; Sulphur x10; Caustic Lime x1,Shipbuilding material,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Weaponsmith,Istanbul,Build Doctor's office,Infirmary,Handicrafts 13,First Aid Kit x10; Assorted Ointments x10; Processed Lumber x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Steam Engineer,IR Cities,Making Special Side-wheel Hull,Large Steam Hull Ship,Handicrafts 10; Shipbuilding 10,Improved Steel Sheet x3; Processed Lumber x1; Metal Work x1,Ship hull,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Amsterdam; Lisbon; London; Marseilles; Seville; Venice,"Make Flat deck, small hull",Small Flush Deck Style Hull,Handicrafts 2; Shipbuilding 5,Iron x20; Lumber x20,Ship hull,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Naples,Make Small Row Boat,Small Row Boat,Handicrafts 2; Shipbuilding 5,Iron x20; Lumber x20,Ship hull,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Alexandria,Make Medium Row Boat,Medium Row Boat,Handicrafts 4; Shipbuilding 9,Processed Lumber x1; Metal Work x1,Ship hull,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Alexandria,Make Mine Sweeper,Marine Sweeper,Handicrafts 6; Shipbuilding 13,Telescope x1; Processed Lumber x1; Metal Work x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Hamburg; Nantes; Porto; Ragusa,"Make Flat deck, medium hull",Medium Flush Deck Style Hull,Handicrafts 4; Shipbuilding 9,Processed Lumber x1; Metal Work x1,Ship hull,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Hamburg; Nantes; Porto; Ragusa,"Make 2 deck, medium hull",Medium 2-decked Hull,Handicrafts 4; Shipbuilding 10,Processed Lumber x1; Metal Work x1,Ship hull,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Seville (C18 P3?),Commander's Medium Flush Deck Style Hull,Commander's Medium Flush Deck Style Hull,Handicrafts 12; Shipbuilding 10,Famous Admiral's Staff x1; Steel x3; Medium Flush Deck Style Hull x1,Ship hull,Basic NPC Production,World-clock note in source,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Seville (C18 P3?),Commander's Medium 2-decked Hull,Commander's Medium 2-decked Hull,Handicrafts 12; Shipbuilding 10,Famous Admiral's Staff x1; Steel x3; Medium 2-decked Hull x1,Ship hull,Basic NPC Production,World-clock note in source,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Seville (C18 P3?),Commander's Medium Row Boat,Commander's Medium Row Boat,Handicrafts 12; Shipbuilding 10,Famous Admiral's Staff x1; Steel x3; Medium Row Boat x1,Ship hull,Basic NPC Production,World-clock note in source,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Seville (C18 P3?),Official Large Row Boat,Official Large Row Boat,Handicrafts 13; Shipbuilding 14,Heavily Armoured Sterncastle x1; Steel x4; Large Row Boat x1,Ship hull,Basic NPC Production,World-clock note in source,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Seville (C18 P3?),Official Large 2-decked Hull,Official Large 2-decked Hull,Handicrafts 14; Shipbuilding 15,Heavily Armoured Sterncastle x1; Steel x5; Large 2-decked Hull x1,Ship hull,Basic NPC Production,World-clock note in source,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Seville (C18 P3?),Official Large 3-decked Hull,Official Large 3-decked Hull,Handicrafts 15; Shipbuilding 16,Heavily Armoured Sterncastle x1; Steel x6; Large 3-decked Hull x1,Ship hull,Basic NPC Production,World-clock note in source,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipyard Master,Seville (C18 P3?),Official Large 3-decked Row Boat,Official Large 3-decked Row Boat,Handicrafts 15; Shipbuilding 16,Heavily Armoured Sterncastle x1; Steel x6; Large 3-decked Row Boat x1,Ship hull,Basic NPC Production,World-clock note in source,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Valencia,Make stock anchors,Stock Anchor,Handicrafts 4; Wares Trading 3,Iron x25; Lead x5; Carpentry Tools x5,Ship part / furniture recipe replacement,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Valencia,Make 2-door bookcase,Double Door Bookcase,Handicrafts 5; Sundries Trading 1,Woolen Fabric x10; Lumber x20; Carpentry Tools x5,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Valencia,Make skill bookcase,Skill Bookshelf,Handicrafts 6; Storage 1,Master Craftsman's Carpentry Tools x5; Processed Lumber x1; Metal Work x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Valencia,Make clothes chests,Clothes Chest,Handicrafts 17; Crafts Trading 8,Fine Furniture x35; Shipwright's Hammer x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Valencia,Make sideboards,Sideboard,Handicrafts 17; Luxuries Trading 8,Antique Art x25; Shipwright's Hammer x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Lubeck,Make storage barrels,Storage Barrel,Handicrafts 4; Alcohol Trading 3,Lumber x10; Carpentry Tools x5; Wine Barrel of Diversion x10,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Lubeck,Expand skill bookcase -3,Skill Bookshelf 3 Tiers,Handicrafts 10; Storage 3,Iron x20; Lumber x20; Skill Bookshelf 2 Tiers x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Lubeck,Make chest of drawers,Tool Box,Handicrafts 14; Wares Trading 7,Steel x55; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Lubeck,Make cupboards,Cupboard,Handicrafts 14; Crafts Trading 7,Glasswork x50; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Lubeck,Make open bookcase,Open Bookshelf,Handicrafts 17; Sundries Trading 8,Lace x50; Shipwright's Saw x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Lubeck,Make storage boxes,Storage Box,Handicrafts 18; Firearms Trading 12,Steel x130; Parts/Hardware Storage Expansion x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Lubeck,Make big 2-door bookcase,Big 2-Door Bookcase,Handicrafts 18; Sundries Trading 9,Flannel x130; Document Storage Expansion x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Cochin,Make Indian rug/parasol,Indian Rug & Parasol,Handicrafts 4; Textile Trading 3,India Calico x15; Lumber x10; Carpentry Tools x5,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Cochin,Make rattan baskets,Rattan Basket,Handicrafts 5; Spice Trading 1,Jute x40; Indian Indigo Dye x20; Carpentry Tools x5,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Pisa; Cochin,Make clothes trunk,Clothes Trunk,Handicrafts 5; Fabric Trading 1,Iron x15; Lumber x15; Carpentry Tools x5,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Pisa; Cochin,Make tool boxes,Tool Box,Handicrafts 14; Wares Trading 7,Steel x55; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Pisa; Cochin,Make cupboards,Cupboard,Handicrafts 14; Crafts Trading 7,Glasswork x50; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Bremen,Make side tables,Side Table with Drawers,Handicrafts 5; Medicine Trading 1,Ceramics x8; Lumber x15; Carpentry Tools x5,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Bremen,Expand skill bookcase -2,Skill Bookshelf 2 Tiers,Handicrafts 8; Storage 2,Iron x10; Lumber x10; Skill Bookshelf x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Bremen,Make storage racks,Open Rack Storage,Handicrafts 14; Luxuries Trading 7,Ceramics x20; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Bremen,Make wood container,Wooden Containers,Handicrafts 16; Firearms Trading 10,Brass x95; Shipwright's Saw x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Bremen,Make big wardrobes,Large Chest,Handicrafts 18; Fabric Trading 12,Fine Clothing x40; Equipments Storage Expansion x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Bremen,Make storage chests,Storage Chest,Handicrafts 18; Art Trading 9,Antique Art x40; Consumable Storage Expansion x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
