ItemName,ItemName_Japanese,ItemType,Bonus_Stats,Craft_Location,NPC_or_Facility,Materials,Skill_Rank,Contribution_Cost,Unlock_Conditions,Tradable_Bound,Notes,Data_Status,Source_URLs,Added_In_This_Version,Review_Priority
High-grade Garnet Necklace,高級ガーネットの首飾り,Accessory / jewelry,Durability 30; Formality 40; Crafts Trading +1; Vigilance +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; Supreme Garnet x20; High-grade Garnet x50,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/100.html | https://w.atwiki.jp/wiki11_dol/pages/20.html,No,Normal
High-grade Sapphire Earrings,高級サファイアの耳飾り,Accessory / jewelry,Durability 30; Formality 40; Precious Metals Trading +1; Supply +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; High-grade Sapphire x50; Supreme Sapphire x7,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/89.html | https://w.atwiki.jp/wiki11_dol/pages/37.html,No,Normal
High-grade Sapphire Necklace,高級サファイヤの首飾り,Accessory / jewelry,Durability 30; Formality 40; Crafts Trading +1; Supply +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; High-grade Sapphire x50; Supreme Sapphire x20,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/89.html | https://w.atwiki.jp/wiki11_dol/pages/20.html,No,Normal
Jewels Box,ジュエルズボックス,Accessory / jewelry,Durability 30; Formality 70; Gem Trading +2; Sundries Trading +1; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Supreme Amethyst x3; High-grade Platinum x10; Supreme Sapphire x15,Handicrafts / Crafts rank 17,Handicrafts contribution 1200,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/77.html,No,Normal
Jewels Clock,ジュエルズクロック,Accessory / jewelry,Durability 30; Formality 70; Management +2; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Supreme Diamond x10; High-grade Platinum x15; High-grade Sapphire x3,Handicrafts / Crafts rank 17,Handicrafts contribution 1200,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=5496 | https://w.atwiki.jp/wiki11_dol/pages/114.html,No,Normal
Jewels Mirror,ジュエルズミラー,Accessory / jewelry,Durability 30; Formality 70; Handicrafts/Crafts +1; Sundries Trading +1; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Supreme Diamond x7; High-grade Platinum x5; Supreme Garnet x3,Handicrafts / Crafts rank 17,Handicrafts contribution 1200,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/45.html,No,Normal
Jewels Necklace,ジュエルズネックレス,Accessory / jewelry,Durability 30; Formality 70; Gem Trading +2; Precious Metals Trading +1; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Supreme Amethyst x3; Supreme Diamond x15; High-grade Platinum x10,Handicrafts / Crafts rank 17,Handicrafts contribution 1200,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=5493 | https://w.atwiki.jp/wiki11_dol/pages/37.html,No,Normal
Jewels Orb,ジュエルズオーブ,Accessory / jewelry,Durability 30; Formality 70; Cooking +1; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Supreme Amethyst x5; High-grade Platinum x10; High-grade Emerald x3,Handicrafts / Crafts rank 17,Handicrafts contribution 1200,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/58.html,No,Normal
Jewels Pendant,ジュエルズペンダント,Accessory / jewelry,Durability 30; Formality 70; Sundries Trading +2; Art Trading +1; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Supreme Diamond x20; High-grade Platinum x10; High-grade Emerald x3,Handicrafts / Crafts rank 17,Handicrafts contribution 1200,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=5494 | https://w.atwiki.jp/wiki11_dol/pages/94.html,No,Normal
Platinum Brooch,プラチナブローチ,Accessory / jewelry,Durability 30; Formality 70; Handicrafts/Crafts +1; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Gold x3; High-grade Platinum x15; Supreme Platinum x5,Handicrafts / Crafts rank 17,Handicrafts contribution 1200,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/45.html,No,Normal
Platinum Laurel Wreath,白金のローレルリース,Accessory / wreath,Durability 50; Formality 10; Defense stat 5; Casting +1; Ore Trading +2; fame 7000,Florence special production / Medici special production,Anita,Silverwork x10; High-grade Platinum x8; Supreme Platinum x2,Handicrafts rank 15,Handicrafts contribution 1200,No extra condition specified in extracted report,Not specified publicly,Strong production/trading accessory from Anita chain.,Confirmed in report; source URL partially inferred from Anita page,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091,No,Normal
Diamond Panja,金剛石のパンジャ,Hand equipment,Durability 50; Formality 20; Defense stat 5; Storage +1; Gathering +2; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Jewelry x10; Gold x20; High-grade Diamond x40,Handicrafts / Crafts rank 13,Handicrafts contribution 800,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=6019,No,Normal
Natural History Encyclopedia,博物全書,Handheld / book,Durability 20; Biology +1; Geography +1; total fame 12000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Graphite x30; Western Books x3; Tanned Leather x3,Handicrafts / Crafts rank 15,Handicrafts contribution 400,Cultural contribution 19000,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/70.html,No,Normal
Round Beret,ラウンドベレー,Headwear,Defense stat 5; Formality 15; Durability 80; Religion +1; Archaeology +1; total fame 5000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Velvet x30; Satin x30; Supreme Dye x4,Handicrafts / Crafts rank 15,Handicrafts contribution 500,Cultural contribution 30000; Culture Contributor title/condition mentioned on boost page,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/71.html | https://w.atwiki.jp/wiki11_dol/pages/74.html,No,Normal
Trenders Hat,トレンダーズハット,Headwear,Defense stat 6; Durability 30; Formality 50; Art Trading +1; Body Language +1; total fame 500,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Gold Thread x30; Embroidery Thread x40; Supreme Dye x5,Handicrafts / Crafts rank 15,Handicrafts contribution 900,None specified beyond access to Florence special production,Not specified publicly,Boost table lists event/chest sources too; recipe line confirms Florence/Anita special production.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/94.html | https://w.atwiki.jp/wiki11_dol/pages/99.html,No,Normal
Platinum Accessoire,白金のアクセスワール,Headwear / hair ornament,Durability 50; Formality 20; Defense stat 5; Fragrance Trading +1; Precious Metals Trading +1; total fame 500; female only,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Silverwork x10; High-grade Platinum x10; Supreme Garnet x5,Handicrafts / Crafts rank 12,Handicrafts contribution 400,Female only,Not specified publicly,Official update page confirms the listed bonuses for this Medici Workshop production item.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/topics_cms/update/7227.html,No,Normal
Astronomical Telescope,天体望遠鏡,Tool,Geography +1; Astronomy +1; use effect: Surveying,Florence special production / Medici special production,Anita,Lumber x30; Simple Telescope x1; Tanned Leather x3,Handicrafts rank 15,Handicrafts contribution 430,Cultural contribution 20000,Not specified publicly,Bonus confirmed by adventure/observation boost index; recipe confirmed under Anita.,Confirmed,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvo.gamedb.info/wiki/?BoostItem%2Fadv2=,No,Normal
Easel & Canvas,イーゼル＆キャンバス,Tool / hand equipment,Durability 50; Fine Arts +1; fame 6300,Florence special production / Medici special production,Anita,Parchment x20; Iron x5; Lumber x50,Handicrafts rank 12,Handicrafts contribution 300,Cultural contribution 10000,Not specified publicly,Confirmed Anita special craft.,Confirmed,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4148 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091,No,Normal
Sapphire Dagger,蒼玉の短剣,Weapon / throwing knife,Durability 50; Formality 10; Attack stat 30; Handicrafts/Crafts +1; Industrial Goods Trading +2; total fame 7000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita,Steel x20; Goldwork x10; Supreme Sapphire x10,Handicrafts / Crafts rank 14,Handicrafts contribution 1000,None specified beyond access to Florence special production,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=6018 | https://w.atwiki.jp/wiki11_dol/pages/78.html,No,Normal
Flower Accessory,フラワーアクセサリー,Accessory / head/accessory,Bonus needs verification,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Roberta,Jewelry x20; White Flower x40; Satin x3,Sewing rank 10,Sewing contribution 510,Cumulative contribution threshold reported by community note,Not specified publicly,,Recipe confirmed; bonus needs item-page or in-game verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=954,No,Normal
Academic Dress,アカデミックドレス,Body clothing,Body Language +1; Social +1; Oxford/vendor version also exists; Florence craft produces same named item,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Roberta,Lace x30; Woolen Fabric x40; High-grade Clothing x5,Sewing rank 6,Sewing contribution 100,None specified beyond access to Florence special production,Not specified publicly,"Special production recipe confirmed; item also obtainable from Oxford, so source column notes both.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/99.html,No,Normal
Academic Gown,アカデミックガウン,Body clothing,Defense stat 10; Formality 20; Durability 30; Management +1; Navigation +1; Arms/Weaponry Technology +1; total fame 60000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Roberta,High-grade Clothing x30; Gold Thread x50; Supreme Dye x2,Sewing rank 13,Sewing contribution 500,Paper/thesis submission count condition; boost table mentions Navigator Doctor title/source,Not specified publicly,Boost table lists title/thesis conditions; recipe line confirms Florence/Roberta Sewing R13.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/114.html | https://w.atwiki.jp/wiki11_dol/pages/115.html,No,Normal
Gown & Surcoat,ガウン＆シュルコー,Body clothing,Defense stat 10; Formality 15; Durability 35; Fine Arts +1; Treasure Appraisal +1,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Roberta,Velvet x30; Satin x50; Supreme Dye x2,Sewing rank 15,Sewing contribution 600,Cultural contribution 30000,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=996,No,Normal
Clavi Toga,クラヴィトーガ,Body clothing / armor,Social +1,Florence special production / Medici special production,Roberta,Gold Thread x30; Premium Dye x3; High-grade Velvet x30,Sewing rank 12,Sewing contribution 500,Roman coins cumulative condition mentioned; exact threshold not resolved in extracted report,Not specified publicly,Condition exists but exact Roman coin threshold not visible in retrieved line.,"Confirmed, condition threshold incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://gvo.gamedb.info/wiki/?BoostItem%2Fmer1=,No,High
Caterina Dress,カテリーナドレス,Dress / body clothing,Special-production variant confirmed: Durability 50; Defense stat 10; Formality 45; Fine Arts +1,Florence special production / Medici special production,Roberta,Pearl x20; Gold Thread x50; Satin x40,Sewing rank 14,Sewing contribution 543,Community-observed cumulative contribution threshold; exact threshold not safely resolved,Not specified publicly,Other versions of the same named item exist; this row is for the Florence special production Fine Arts +1 variant.,"Confirmed, unlock threshold incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://gvo.gamedb.info/wiki/?EquipmentItem%2FBody11=,No,High
Amazon Flower Accessory,アマゾンの花飾り,Head/accessory,Bonus needs verification,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Roberta,Red Flower x20; Strange Fruit x20; Huge Leaf x20,Sewing rank 11,Sewing contribution 340,None specified beyond access to Florence special production,Not specified publicly,,Recipe confirmed; bonus needs item-page or in-game verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=978,No,Normal
Peruke & Ribbon,ペリューク＆リボン,Headwear / wig,Bonus needs verification,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Roberta,Lace x20; Velvet x20; Horse x3,Sewing rank 10,Sewing contribution 510,Cumulative contribution threshold reported by community note,Not specified publicly,,Recipe confirmed; bonus needs item-page or in-game verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=902,No,Normal
Cross Helm,クロスヘルム,Head armor / helmet,Defense stat 35; special crafted helmet; no skill boost found in retrieved data,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Zita,Iron x30; Coal x20; Steel x50,Casting rank 11,Casting contribution 174,None specified beyond access to Florence special production,Not specified publicly,Included because it is a special-craft armor piece with a strong defense stat. Skill boost not confirmed in retrieved source.,Recipe confirmed; bonus/stat confirmed; skill boost not found,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://w.atwiki.jp/wiki11_dol/pages/61.html,No,Normal
Composite Bow,コンポジットボウ,Weapon / bow,Sniping +2,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Zita,Lumber x20; Ebony x20; Short Bow x1,Casting rank 12,Casting contribution 400,"80,000 cumulative Roman coins; talk to Lorenzo de Medici to unlock per community note",Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://w.atwiki.jp/zero-flora/pages/234.html,No,Normal
Sword Breaker,ソードブレイカー,Weapon / dagger,Attack stat 51; Defense stat 10; Durability 150; Defense +2; total fame 15000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Zita,Short Sword x1; Coal x30; Main Gauche x1,Casting rank 13,Casting contribution 730,Cumulative contribution threshold reported by boost page,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://w.atwiki.jp/wiki11_dol/pages/98.html,No,Normal
Spontoon,スポントゥーン,Weapon / spear,Applied Swordplay +2,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Zita,Coal x30; Steel x40; Pike x1,Casting rank 13,Casting contribution 400,"100,000 cumulative Roman coins",Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://w.atwiki.jp/zero-flora/pages/234.html,No,Normal
Dress Sword,ドレスソード,Weapon / sword,Attack stat 22; Defense stat 18; Formality 50; Crafts Trading +1; total fame 65000,"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Zita,Jewelry x20; One-handed Sword x2; Gold x30,Casting rank 13,Casting contribution 800,Royal Fleet achievement 10000 points; Navy Ensign or higher listed on boost table,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://w.atwiki.jp/wiki11_dol/pages/20.html,No,Normal
Draped Dress,ドレープドレス,Body clothing,"Social +2; some non-Lorenzo versions add Industrial Goods Trading +1, so verify exact color/version in game",Florence special production / Lorenzo de Medici monthly recipe rotation; accessed through NPC special production menu,Lorenzo de Medici,Lace x40; Silk Fabric x20; Gold Thread x50,Sewing rank 14,Contribution 400,Server-wide monthly rotation; likely female-only,Not specified publicly,Boost source confirms Social +2 for Lorenzo de Medici version and notes other variant stats separately.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4726 | https://w.atwiki.jp/wiki11_dol/pages/14.html,No,Normal
Frock Coat,フロックコート,Body clothing,Bonus needs verification,Florence special production / Lorenzo de Medici monthly recipe rotation; accessed through NPC special production menu,Lorenzo de Medici,Woolen Fabric x50; Gold x10; Supreme Dye x5,Sewing rank 15,Contribution 500,Server-wide monthly rotation,Not specified publicly,,Recipe confirmed; bonus needs item-page or in-game verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4726,No,Normal
Reveur/Ruveil Robe,ルヴェールローブ,Body clothing,"Social +2; some non-Lorenzo versions add Luxury Goods Trading +1, so verify exact color/version in game",Florence special production / Lorenzo de Medici monthly recipe rotation; accessed through NPC special production menu,Lorenzo de Medici,Silk Fabric x30; High-grade Dye x5; High-grade Velvet x10,Sewing rank 14,Contribution 400,Server-wide monthly rotation; likely male-only,Not specified publicly,Item is often translated several ways; Japanese name is the safest identifier.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4726 | https://w.atwiki.jp/wiki11_dol/pages/14.html,No,Normal
Mini Silk Hat,ミニシルクハット,Headwear,Bonus needs verification,Florence special production / Lorenzo de Medici monthly recipe rotation; accessed through NPC special production menu,Lorenzo de Medici,Lace x40; Silk Fabric x50; Supreme Dye x2,Handicrafts / Crafts rank 15,Contribution 300,Server-wide monthly rotation; female-only recipe label,Not specified publicly,,Recipe confirmed; bonus needs item-page or in-game verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4726,No,Normal
